Height (cm),Weight (kg),BMI Class
199,84,1
169,54,1
166,77,2
168,54,1
178,126,3
188,55,0
171,108,3
155,70,2
159,71,2
162,128,3
188,108,2
191,86,1
155,93,3
208,60,0
170,116,3
158,56,1
205,122,2
156,100,3
154,129,3
199,77,1
197,71,1
197,118,2
165,72,2
208,57,0
166,56,1
174,108,3
192,77,1
154,63,2
177,129,3
185,123,3
147,79,3
209,70,0
195,121,2
198,111,2
155,89,3
169,104,3
164,89,3
207,127,2
150,86,3
167,96,3
168,119,3
145,51,1
187,112,3
169,108,3
180,77,1
153,105,3
190,110,2
148,65,2
193,84,1
178,65,1
194,59,0
171,53,1
207,98,1
172,63,1
186,87,2
205,72,0
163,53,1
192,113,2
177,88,2
200,72,1
209,62,0
205,92,1
180,79,1
155,65,2
202,50,0
156,64,2
207,92,1
175,97,2
157,57,1
164,63,1
204,105,2
191,66,1
184,105,2
145,62,2
207,91,1
154,50,1
200,115,2
174,56,1
157,52,1
188,61,0
202,114,2
173,83,2
167,89,2
164,78,2
207,50,0
165,87,2
197,71,1
162,82,2
208,107,1
199,88,1
152,51,1
208,84,1
185,69,1
173,72,1
209,85,1
196,115,2
161,68,2
178,88,2
152,65,2
154,51,1
205,111,2
164,50,1
188,86,1
160,60,1
203,100,1
181,93,2
199,82,1
188,97,2
182,71,1
173,65,1
162,55,1
162,68,2
191,102,2
169,72,2
159,62,1
179,85,2
207,75,1
171,63,1
184,73,1
179,64,1
